seq_id	ENC	CAI	FOP	GC	GC3s	tAI
lcl|LR898468.1_cds_CAD6498726.1_84 [protein_id=CAD6498726.1] [location=complement(join(1275558..1275702,1275859..1276048,1276140..1276296))] [gbkey=CDS]	53.34466787485023	0.7773739287865057	0.25316455696202533	0.448559670781893	0.5379746835443038	0.2566725878860644
lcl|LR898468.1_cds_CAD6498727.1_85 [protein_id=CAD6498727.1] [location=complement(join(1278337..1278491,1278538..1278909,1278961..1279302,1279378..1279696))] [gbkey=CDS]	55.359418844858304	0.8259742301248908	0.29015544041450775	0.4128595600676819	0.3860103626943005	0.2405226547084164
lcl|LR898468.1_cds_CAD6498728.1_86 [protein_id=CAD6498728.1] [location=join(1286028..1286340,1286416..1286760,1286809..1287180,1287228..1287379)] [gbkey=CDS]	54.99475190392817	0.8221665240580697	0.2905759162303665	0.40221088435374147	0.3795811518324607	0.2459279254320594
lcl|LR898468.1_cds_CAD6498729.1_87 [protein_id=CAD6498729.1] [location=complement(join(1290886..1294762,1294831..1297373))] [gbkey=CDS]	57.875768371591136	0.7843179208561147	0.2966019417475728	0.46117867165575305	0.41699029126213594	0.24630516758691084
lcl|LR898468.1_cds_CAD6498730.1_88 [protein_id=CAD6498730.1] [location=join(1322553..1322865,1322940..1323284,1323337..1323708,1323755..1323861)] [gbkey=CDS]	55.96845412369317	0.8109191920062915	0.3005464480874317	0.41114058355437666	0.39617486338797814	0.24494803584234237
lcl|LR898468.1_cds_CAD6498731.1_89 [protein_id=CAD6498731.1] [location=complement(join(1359134..1359240,1359287..1359658,1359713..1360057,1360132..1360441))] [gbkey=CDS]	53.853730714714274	0.822538923206447	0.3138888888888889	0.3980496453900709	0.3611111111111111	0.24479790305869303
lcl|LR898468.1_cds_CAD6498732.1_90 [protein_id=CAD6498732.1] [location=complement(1367727..1368959)] [gbkey=CDS]	53.59961326719096	0.8173362403387671	0.31592039800995025	0.4490627546862266	0.3855721393034826	0.2605923261329874
lcl|LR898468.1_cds_CAD6498733.1_91 [protein_id=CAD6498733.1] [location=join(1394476..1395111,1395154..1396251,1396328..1396723)] [gbkey=CDS]	53.700374486850635	0.8199962177297839	0.35276967930029157	0.4430320150659134	0.3746355685131195	0.2556271680151462
lcl|LR898468.1_cds_CAD6498734.1_92 [protein_id=CAD6498734.1] [location=join(1408315..1408331,1408575..1410636,1410686..1410785,1410833..1411242)] [gbkey=CDS]	55.310139528129845	0.8138881569518589	0.36899038461538464	0.45605884630274873	0.359375	0.2509073616361125
lcl|LR898468.1_cds_CAD6498735.1_93 [protein_id=CAD6498735.1] [location=join(1425139..1425279,1425328..1427061)] [gbkey=CDS]	55.802281672056814	0.8062694412694993	0.3241042345276873	0.44408774745853397	0.3729641693811075	0.2397852044395002
lcl|LR898468.1_cds_CAD6498736.1_94 [protein_id=CAD6498736.1] [location=complement(join(1431969..1434803,1434911..1434961))] [gbkey=CDS]	55.0774663818313	0.8182105783517056	0.33548387096774196	0.45868055555555554	0.3655913978494624	0.2516239038350595
lcl|LR898468.1_cds_CAD6498737.1_95 [protein_id=CAD6498737.1] [location=join(1454941..1454966,1455214..1455466)] [gbkey=CDS]	54.91517198325122	0.7401413177692281	0.1797752808988764	0.5347985347985348	0.5168539325842697	0.2310717620068174
lcl|LR898468.1_cds_CAD6498738.1_96 [protein_id=CAD6498738.1] [location=join(1505186..1505227,1505285..1506315,1506361..1508317,1508365..1510506)] [gbkey=CDS]	56.57256670573106	0.8100574722335155	0.30505415162454874	0.4419279907084785	0.3766546329723225	0.24469730086561528
lcl|LR898468.1_cds_CAD6498739.1_97 [protein_id=CAD6498739.1] [location=complement(join(1511549..1515194,1515239..1515521,1515573..1515963,1516035..1516298))] [gbkey=CDS]	54.962273737993925	0.8204598509873645	0.3822341857335128	0.455220620358235	0.3465679676985195	0.2457322892106241
lcl|LR898468.1_cds_CAD6498740.1_98 [protein_id=CAD6498740.1] [location=join(1529818..1530348,1530420..1532161,1532230..1534401,1534447..1534663)] [gbkey=CDS]	54.60131448605311	0.8256672116903724	0.34700739744451914	0.43964776632302405	0.35709482178883656	0.2525770427519562
lcl|LR898468.1_cds_CAD6498741.1_99 [protein_id=CAD6498741.1] [location=complement(join(1540214..1540706,1540763..1541376))] [gbkey=CDS]	52.21967412853325	0.8319779357826291	0.3314285714285714	0.40054495912806537	0.3314285714285714	0.24869724549395833
lcl|LR898468.1_cds_CAD6498742.1_100 [protein_id=CAD6498742.1] [location=complement(join(1558297..1558347,1558666..1558824))] [gbkey=CDS]	55.17242772183385	0.7887685822509888	0.2	0.4411764705882353	0.5230769230769231	0.24195035341108204
lcl|LR898468.1_cds_CAD6498743.1_101 [protein_id=CAD6498743.1] [location=complement(join(1563192..1565755,1565805..1565844))] [gbkey=CDS]	55.736408744432204	0.7932860394868618	0.25508982035928146	0.47613548883756734	0.4502994011976048	0.24828780451607063
